left_child,right_child,distance,size
19740.0,52933.0,0.0,6.0
19739.0,52883.0,0.0,3.0
19737.0,35458.0,0.0,2.0
19732.0,52910.0,0.0,3.0
19731.0,52951.0,0.0,7.0
19730.0,52950.0,0.0,6.0
19726.0,485.0,0.0,2.0
19725.0,52958.0,0.0,3.0
19723.0,52956.0,0.0,8.0
19721.0,52713.0,0.0,3.0
19720.0,52426.0,0.0,3.0
19719.0,52962.0,0.0,4.0
19718.0,5484.0,0.0,2.0
19717.0,52937.0,0.0,9.0
19714.0,52965.0,0.0,10.0
19742.0,52929.0,0.0,3.0
18806.0,28352.0,0.0,2.0
18804.0,52665.0,0.0,5.0
18801.0,19027.0,0.0,2.0
17897.0,17891.0,0.0,2.0
17896.0,17893.0,0.0,2.0
46642.0,21406.0,0.0,2.0
17892.0,52972.0,0.0,3.0
17890.0,52971.0,0.0,3.0
46643.0,20230.0,0.0,2.0
17899.0,17844.0,0.0,2.0
46645.0,46650.0,0.0,2.0
46651.0,47512.0,0.0,2.0
46652.0,52973.0,0.0,3.0
46653.0,52980.0,0.0,4.0
46654.0,27140.0,0.0,2.0
17873.0,17871.0,0.0,2.0
17869.0,52974.0,0.0,4.0
17886.0,52983.0,0.0,3.0
17900.0,52977.0,0.0,3.0
46639.0,52916.0,0.0,5.0
46638.0,52987.0,0.0,6.0
17944.0,52984.0,0.0,5.0
17942.0,52989.0,0.0,6.0
46615.0,49664.0,0.0,2.0
17935.0,17975.0,0.0,2.0
46619.0,52976.0,0.0,3.0
17932.0,17949.0,0.0,2.0
46620.0,52993.0,0.0,4.0
46622.0,33216.0,0.0,2.0
17924.0,52990.0,0.0,7.0
46627.0,15174.0,0.0,2.0
46628.0,52998.0,0.0,3.0
46629.0,46335.0,0.0,2.0
46630.0,52938.0,0.0,4.0
17911.0,52997.0,0.0,8.0
46635.0,52995.0,0.0,5.0
17868.0,52975.0,0.0,4.0
46612.0,53003.0,0.0,6.0
17867.0,53002.0,0.0,9.0
17864.0,14912.0,0.0,2.0
46682.0,52848.0,0.0,3.0
46688.0,46691.0,0.0,2.0
46695.0,50309.0,0.0,2.0
46699.0,53001.0,0.0,5.0
17791.0,53004.0,0.0,5.0
17790.0,53012.0,0.0,6.0
46678.0,46866.0,0.0,2.0
17789.0,53013.0,0.0,7.0
46703.0,52981.0,0.0,5.0
46704.0,53016.0,0.0,6.0
17776.0,1958.0,0.0,2.0
17775.0,53018.0,0.0,3.0
17774.0,19785.0,0.0,2.0
52926.0,53020.0,0.0,6.0
17782.0,2280.0,0.0,2.0
46676.0,25847.0,0.0,2.0
46675.0,52996.0,0.0,3.0
46674.0,53017.0,0.0,7.0
46655.0,52982.0,0.0,3.0
17858.0,53006.0,0.0,10.0
17857.0,53015.0,0.0,8.0
17855.0,53028.0,0.0,9.0
17848.0,52994.0,0.0,3.0
17846.0,53030.0,0.0,4.0
17842.0,53029.0,0.0,10.0
17839.0,17824.0,0.0,2.0
17837.0,53031.0,0.0,5.0
46664.0,15569.0,0.0,2.0
46665.0,20419.0,0.0,2.0
46672.0,20297.0,0.0,2.0
17823.0,53027.0,0.0,11.0
46673.0,53025.0,0.0,8.0
17819.0,53032.0,0.0,11.0
17865.0,53040.0,0.0,12.0
17769.0,17290.0,0.0,2.0
46611.0,53005.0,0.0,7.0
46607.0,47041.0,0.0,2.0
46445.0,53011.0,0.0,6.0
46451.0,46450.0,0.0,2.0
46452.0,46453.0,0.0,2.0
46457.0,52661.0,0.0,3.0
